time(s),filename,numbytes,info
7.0,DSP-1001660006002-A-A02_S2_L001_R1_001.fastq.gz,0,start
7.0,DSP-1001660006002-A-A02_S2_L001_R2_001.fastq.gz,0,start
7.4,DSP-1001660006002-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 3
7.5,DSP-1001660006002-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 3
7.5,DSP-1001660006002-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 4
7.5,DSP-1001660006002-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 2
7.6,DSP-1001660006002-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 2
7.6,DSP-1001660006002-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 1
7.7,DSP-1001660006002-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 4
7.8,DSP-1001660006002-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 1
7.8,DSP-1001660006002-A-A02_S2_L001_R1_001.fastq.gz,5897109,part 6
7.9,DSP-1001660006002-A-A02_S2_L001_R2_001.fastq.gz,7466302,part 6
8.0,DSP-1001660006002-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 5
8.0,DSP-1001660006002-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 5
