TRIMMER STATISTICS,,Total input reads,789300
TRIMMER STATISTICS,,Total input bases,32361300
TRIMMER STATISTICS,,Total input bases R1,16180650
TRIMMER STATISTICS,,Total input bases R2,16180650
TRIMMER STATISTICS,,Average input read length,41
TRIMMER STATISTICS,,Total trimmed reads,789300,100.00
TRIMMER STATISTICS,,Total trimmed bases,11928459,36.86
TRIMMER STATISTICS,,Average bases trimmed per read,15
TRIMMER STATISTICS,,Average bases trimmed per trimmed read,15
TRIMMER STATISTICS,,Remaining poly-G K-mers R1 3prime,0,0.00
TRIMMER STATISTICS,,Remaining poly-G K-mers R2 3prime,69,0.02
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R1 3prime,1,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R2 3prime,356,0.09
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R1 3prime,6,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R2 3prime,5044,0.03
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed reads unfiltered R1 3prime,9846,2.49
TRIMMER STATISTICS,,Quality trimmed reads unfiltered R2 3prime,20912,5.30
TRIMMER STATISTICS,,Quality trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed bases unfiltered R1 3prime,24800,0.15
TRIMMER STATISTICS,,Quality trimmed bases unfiltered R2 3prime,50492,0.31
TRIMMER STATISTICS,,Quality trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R1 3prime,390220,98.88
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R2 3prime,389808,98.77
TRIMMER STATISTICS,,Adapter trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R1 3prime,5878138,36.33
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R2 3prime,5859803,36.21
TRIMMER STATISTICS,,Adapter trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed reads unfiltered R1 3prime,6536,1.66
TRIMMER STATISTICS,,Cut-End trimmed reads unfiltered R2 3prime,6489,1.64
TRIMMER STATISTICS,,Cut-End trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed bases unfiltered R1 3prime,58747,0.36
TRIMMER STATISTICS,,Cut-End trimmed bases unfiltered R2 3prime,56479,0.35
TRIMMER STATISTICS,,Cut-End trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Total filtered reads,0,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R1,0,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R2,0,0.00
