time(s),filename,numbytes,info
7.0,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,0,start
7.2,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,0,start
7.5,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,16777216,part 2
7.5,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,16777216,part 3
7.7,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,16777216,part 3
7.7,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,16777216,part 4
7.8,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,16777216,part 1
7.9,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,16777216,part 4
7.9,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,16777216,part 2
8.0,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,16777216,part 5
8.0,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,16777216,part 1
8.0,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,16777216,part 6
8.3,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,16777216,part 6
8.4,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,16777216,part 7
8.5,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,16777216,part 5
8.6,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,16777216,part 9
8.6,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,16777216,part 10
8.8,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,16777216,part 7
8.8,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,16777216,part 8
8.8,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,16777216,part 8
8.9,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,16777216,part 10
8.9,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,16777216,part 9
9.1,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,16777216,part 11
9.2,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,16777216,part 11
9.2,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,16777216,part 12
9.4,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,5466110,part 15
9.5,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,4123344,part 15
9.5,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,16777216,part 12
9.5,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,16777216,part 14
9.5,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,16777216,part 13
9.6,DSP-1001660006002-A-D03_S39_L001_R2_001.fastq.gz,16777216,part 14
9.7,DSP-1001660006002-A-D03_S39_L001_R1_001.fastq.gz,16777216,part 13
