TRIMMER STATISTICS,,Total input reads,7628070
TRIMMER STATISTICS,,Total input bases,312750870
TRIMMER STATISTICS,,Total input bases R1,156375435
TRIMMER STATISTICS,,Total input bases R2,156375435
TRIMMER STATISTICS,,Average input read length,41
TRIMMER STATISTICS,,Total trimmed reads,7628070,100.00
TRIMMER STATISTICS,,Total trimmed bases,115226144,36.84
TRIMMER STATISTICS,,Average bases trimmed per read,15
TRIMMER STATISTICS,,Average bases trimmed per trimmed read,15
TRIMMER STATISTICS,,Remaining poly-G K-mers R1 3prime,0,0.00
TRIMMER STATISTICS,,Remaining poly-G K-mers R2 3prime,644,0.02
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R1 3prime,29,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R2 3prime,3020,0.08
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R1 3prime,247,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R2 3prime,42875,0.03
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed reads unfiltered R1 3prime,108526,2.85
TRIMMER STATISTICS,,Quality trimmed reads unfiltered R2 3prime,205364,5.38
TRIMMER STATISTICS,,Quality trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed bases unfiltered R1 3prime,242430,0.16
TRIMMER STATISTICS,,Quality trimmed bases unfiltered R2 3prime,463046,0.30
TRIMMER STATISTICS,,Quality trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R1 3prime,3767405,98.78
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R2 3prime,3771973,98.90
TRIMMER STATISTICS,,Adapter trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R1 3prime,56711672,36.27
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R2 3prime,56680711,36.25
TRIMMER STATISTICS,,Adapter trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed reads unfiltered R1 3prime,67168,1.76
TRIMMER STATISTICS,,Cut-End trimmed reads unfiltered R2 3prime,58424,1.53
TRIMMER STATISTICS,,Cut-End trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed bases unfiltered R1 3prime,632730,0.40
TRIMMER STATISTICS,,Cut-End trimmed bases unfiltered R2 3prime,495555,0.32
TRIMMER STATISTICS,,Cut-End trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Total filtered reads,0,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R1,0,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R2,0,0.00
