TRIMMER STATISTICS,,Total input reads,8660084
TRIMMER STATISTICS,,Total input bases,355063444
TRIMMER STATISTICS,,Total input bases R1,177531722
TRIMMER STATISTICS,,Total input bases R2,177531722
TRIMMER STATISTICS,,Average input read length,41
TRIMMER STATISTICS,,Total trimmed reads,8660084,100.00
TRIMMER STATISTICS,,Total trimmed bases,130819069,36.84
TRIMMER STATISTICS,,Average bases trimmed per read,15
TRIMMER STATISTICS,,Average bases trimmed per trimmed read,15
TRIMMER STATISTICS,,Remaining poly-G K-mers R1 3prime,0,0.00
TRIMMER STATISTICS,,Remaining poly-G K-mers R2 3prime,559,0.01
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R1 3prime,41,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R2 3prime,2887,0.07
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R1 3prime,400,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R2 3prime,39470,0.02
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed reads unfiltered R1 3prime,132191,3.05
TRIMMER STATISTICS,,Quality trimmed reads unfiltered R2 3prime,218762,5.05
TRIMMER STATISTICS,,Quality trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed bases unfiltered R1 3prime,299360,0.17
TRIMMER STATISTICS,,Quality trimmed bases unfiltered R2 3prime,498328,0.28
TRIMMER STATISTICS,,Quality trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R1 3prime,4276426,98.76
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R2 3prime,4281590,98.88
TRIMMER STATISTICS,,Adapter trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R1 3prime,64363712,36.25
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R2 3prime,64356822,36.25
TRIMMER STATISTICS,,Adapter trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed reads unfiltered R1 3prime,77707,1.79
TRIMMER STATISTICS,,Cut-End trimmed reads unfiltered R2 3prime,68605,1.58
TRIMMER STATISTICS,,Cut-End trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed bases unfiltered R1 3prime,720963,0.41
TRIMMER STATISTICS,,Cut-End trimmed bases unfiltered R2 3prime,579884,0.33
TRIMMER STATISTICS,,Cut-End trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Total filtered reads,0,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R1,0,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R2,0,0.00
