TRIMMER STATISTICS,,Total input reads,3529850
TRIMMER STATISTICS,,Total input bases,144723850
TRIMMER STATISTICS,,Total input bases R1,72361925
TRIMMER STATISTICS,,Total input bases R2,72361925
TRIMMER STATISTICS,,Average input read length,41
TRIMMER STATISTICS,,Total trimmed reads,3529850,100.00
TRIMMER STATISTICS,,Total trimmed bases,53324452,36.85
TRIMMER STATISTICS,,Average bases trimmed per read,15
TRIMMER STATISTICS,,Average bases trimmed per trimmed read,15
TRIMMER STATISTICS,,Remaining poly-G K-mers R1 3prime,0,0.00
TRIMMER STATISTICS,,Remaining poly-G K-mers R2 3prime,228,0.01
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R1 3prime,11,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R2 3prime,1140,0.06
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R1 3prime,125,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R2 3prime,15882,0.02
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed reads unfiltered R1 3prime,51065,2.89
TRIMMER STATISTICS,,Quality trimmed reads unfiltered R2 3prime,84089,4.76
TRIMMER STATISTICS,,Quality trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed bases unfiltered R1 3prime,108163,0.15
TRIMMER STATISTICS,,Quality trimmed bases unfiltered R2 3prime,193381,0.27
TRIMMER STATISTICS,,Quality trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R1 3prime,1745153,98.88
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R2 3prime,1746621,98.96
TRIMMER STATISTICS,,Adapter trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R1 3prime,26274489,36.31
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R2 3prime,26262213,36.29
TRIMMER STATISTICS,,Adapter trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed reads unfiltered R1 3prime,29261,1.66
TRIMMER STATISTICS,,Cut-End trimmed reads unfiltered R2 3prime,25997,1.47
TRIMMER STATISTICS,,Cut-End trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed bases unfiltered R1 3prime,269078,0.37
TRIMMER STATISTICS,,Cut-End trimmed bases unfiltered R2 3prime,217128,0.30
TRIMMER STATISTICS,,Cut-End trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Total filtered reads,0,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R1,0,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R2,0,0.00
