TRIMMER STATISTICS,,Total input reads,2963590
TRIMMER STATISTICS,,Total input bases,121507190
TRIMMER STATISTICS,,Total input bases R1,60753595
TRIMMER STATISTICS,,Total input bases R2,60753595
TRIMMER STATISTICS,,Average input read length,41
TRIMMER STATISTICS,,Total trimmed reads,2963590,100.00
TRIMMER STATISTICS,,Total trimmed bases,44790792,36.86
TRIMMER STATISTICS,,Average bases trimmed per read,15
TRIMMER STATISTICS,,Average bases trimmed per trimmed read,15
TRIMMER STATISTICS,,Remaining poly-G K-mers R1 3prime,1,0.00
TRIMMER STATISTICS,,Remaining poly-G K-mers R2 3prime,211,0.01
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R1 3prime,13,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R2 3prime,1252,0.08
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R1 3prime,180,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R2 3prime,17191,0.03
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed reads unfiltered R1 3prime,36147,2.44
TRIMMER STATISTICS,,Quality trimmed reads unfiltered R2 3prime,74814,5.05
TRIMMER STATISTICS,,Quality trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed bases unfiltered R1 3prime,84858,0.14
TRIMMER STATISTICS,,Quality trimmed bases unfiltered R2 3prime,172531,0.28
TRIMMER STATISTICS,,Quality trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R1 3prime,1464702,98.85
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R2 3prime,1466263,98.95
TRIMMER STATISTICS,,Adapter trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R1 3prime,22068242,36.32
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R2 3prime,22051189,36.30
TRIMMER STATISTICS,,Adapter trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed reads unfiltered R1 3prime,25606,1.73
TRIMMER STATISTICS,,Cut-End trimmed reads unfiltered R2 3prime,22327,1.51
TRIMMER STATISTICS,,Cut-End trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed bases unfiltered R1 3prime,231610,0.38
TRIMMER STATISTICS,,Cut-End trimmed bases unfiltered R2 3prime,182362,0.30
TRIMMER STATISTICS,,Cut-End trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Total filtered reads,0,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R1,0,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R2,0,0.00
