TRIMMER STATISTICS,,Total input reads,23761218
TRIMMER STATISTICS,,Total input bases,974209938
TRIMMER STATISTICS,,Total input bases R1,487104969
TRIMMER STATISTICS,,Total input bases R2,487104969
TRIMMER STATISTICS,,Average input read length,41
TRIMMER STATISTICS,,Total trimmed reads,23761218,100.00
TRIMMER STATISTICS,,Total trimmed bases,358948822,36.85
TRIMMER STATISTICS,,Average bases trimmed per read,15
TRIMMER STATISTICS,,Average bases trimmed per trimmed read,15
TRIMMER STATISTICS,,Remaining poly-G K-mers R1 3prime,1,0.00
TRIMMER STATISTICS,,Remaining poly-G K-mers R2 3prime,2157,0.02
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R1 3prime,97,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R2 3prime,9802,0.08
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R1 3prime,1033,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R2 3prime,140331,0.03
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed reads unfiltered R1 3prime,335941,2.83
TRIMMER STATISTICS,,Quality trimmed reads unfiltered R2 3prime,677570,5.70
TRIMMER STATISTICS,,Quality trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed bases unfiltered R1 3prime,765402,0.16
TRIMMER STATISTICS,,Quality trimmed bases unfiltered R2 3prime,1584949,0.33
TRIMMER STATISTICS,,Quality trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Quality trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R1 3prime,11723108,98.67
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R2 3prime,11726263,98.70
TRIMMER STATISTICS,,Adapter trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R1 3prime,176487876,36.23
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R2 3prime,176151180,36.16
TRIMMER STATISTICS,,Adapter trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Adapter trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed reads unfiltered R1 3prime,225609,1.90
TRIMMER STATISTICS,,Cut-End trimmed reads unfiltered R2 3prime,207452,1.75
TRIMMER STATISTICS,,Cut-End trimmed reads filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed reads filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed bases unfiltered R1 3prime,2130659,0.44
TRIMMER STATISTICS,,Cut-End trimmed bases unfiltered R2 3prime,1828756,0.38
TRIMMER STATISTICS,,Cut-End trimmed bases filtered R1 3prime,0,0.00
TRIMMER STATISTICS,,Cut-End trimmed bases filtered R2 3prime,0,0.00
TRIMMER STATISTICS,,Total filtered reads,0,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R1,0,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R2,0,0.00
