RGID,RGSM,RGLB,Lane,Read1File,Read2File
0,DSP-1001660006002-A-B12,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/8997c324d0a249e7b7c1ae3200466543/DSP-1001660006002-A-B12_S24_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-B12_S24_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=8Tiv8gQwp0fdewMyco8hxKJbI0Q%3D,https://basespace-data-east.s3-external-1.amazonaws.com/8997c324d0a249e7b7c1ae3200466543/DSP-1001660006002-A-B12_S24_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-B12_S24_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=Dk5w6AI8Sy5x6NGaNEyJ3oY5VuY%3D
1,DSP-1001660006002-A-F01,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/a4d2d9b9d85340c58bc5ae32004751e7/DSP-1001660006002-A-F01_S61_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-F01_S61_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=y5pt6%2F4pXBTz1fDRCwrPSNQ95Yc%3D,https://basespace-data-east.s3-external-1.amazonaws.com/a4d2d9b9d85340c58bc5ae32004751e7/DSP-1001660006002-A-F01_S61_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-F01_S61_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=qtBVB7x%2FPJ%2B%2BzVn1mSDSmb8JHnA%3D
2,DSP-1001660006002-A-E09,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/4164eccb0e6a4d0eb9beae3200473266/DSP-1001660006002-A-E09_S57_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-E09_S57_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=6UI%2BJyTTdLkBb8TDXWVeadTw9xw%3D,https://basespace-data-east.s3-external-1.amazonaws.com/4164eccb0e6a4d0eb9beae3200473266/DSP-1001660006002-A-E09_S57_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-E09_S57_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=Ea0Se8OkKpoYa6vHwnO2Nna0eFM%3D
3,DSP-1001660006002-A-C02,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/10fa5d9d87c6468cbec9ae320046706f/DSP-1001660006002-A-C02_S26_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-C02_S26_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=Z8oeF1dQEoWqX5ng%2FrjULIvHpV0%3D,https://basespace-data-east.s3-external-1.amazonaws.com/10fa5d9d87c6468cbec9ae320046706f/DSP-1001660006002-A-C02_S26_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-C02_S26_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=vCAGY4ajrGWZFemqneFCk06kGsk%3D
4,DSP-1001660006002-A-G05,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/3ad5053a265349cfaf05ae320047cc70/DSP-1001660006002-A-G05_S77_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-G05_S77_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=KzW16h%2BIwQFFaZpvRZkPakalM%2BE%3D,https://basespace-data-east.s3-external-1.amazonaws.com/3ad5053a265349cfaf05ae320047cc70/DSP-1001660006002-A-G05_S77_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-G05_S77_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=6oMdzE5bNxqnV7O6IJ0VfGflCP8%3D
5,DSP-1001660006002-A-C07,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/0aeac1841c994394850aae3200468cf8/DSP-1001660006002-A-C07_S31_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-C07_S31_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=osOGYU3bqzkwkj%2Brd4ht%2BMi5w0U%3D,https://basespace-data-east.s3-external-1.amazonaws.com/0aeac1841c994394850aae3200468cf8/DSP-1001660006002-A-C07_S31_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-C07_S31_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=tQc0Kf6vKQ8UueuVrBdMODecUtI%3D
6,DSP-1001660006002-A-B03,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/93f3a64ddb14410ca36dae3200462a58/DSP-1001660006002-A-B03_S15_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-B03_S15_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=q4bZJOInQwkSm7V6txSAMm3fDQo%3D,https://basespace-data-east.s3-external-1.amazonaws.com/93f3a64ddb14410ca36dae3200462a58/DSP-1001660006002-A-B03_S15_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-B03_S15_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=QLojvZa6q2J4WKCcjszxJAbuQCg%3D
7,DSP-1001660006002-A-C04,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/c795669c1e034f9b8892ae3200467ba2/DSP-1001660006002-A-C04_S28_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-C04_S28_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=40pY%2F8TA9%2BcSYn%2FADdzIZmpYUJs%3D,https://basespace-data-east.s3-external-1.amazonaws.com/c795669c1e034f9b8892ae3200467ba2/DSP-1001660006002-A-C04_S28_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-C04_S28_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=e9JoLNRPRzpMS6tmmaheEbmmr0s%3D
8,DSP-1001660006002-A-B06,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/a5ffee80ff9c4f2c9238ae3200463fb1/DSP-1001660006002-A-B06_S18_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-B06_S18_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=HyVMN%2B2iqTXwYwoj0uvuTWu913E%3D,https://basespace-data-east.s3-external-1.amazonaws.com/a5ffee80ff9c4f2c9238ae3200463fb1/DSP-1001660006002-A-B06_S18_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-B06_S18_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=6f9rIvn3ig6fAqdcuQsaiJiTHkY%3D
9,DSP-1001660006002-A-D11,UnknownLibrary,L001,https://basespace-data-east.s3-external-1.amazonaws.com/6f6ea555ea3340ebb9cbae320046f2cf/DSP-1001660006002-A-D11_S47_L001_R1_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-D11_S47_L001_R1_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=OhmbKwEU3Bz4mN2QNtHziJG2ERo%3D,https://basespace-data-east.s3-external-1.amazonaws.com/6f6ea555ea3340ebb9cbae320046f2cf/DSP-1001660006002-A-D11_S47_L001_R2_001.fastq.gz?AWSAccessKeyId=AKIARPYQJSWQZ43T2BOI&Expires=1644617269&response-content-disposition=filename%3DDSP-1001660006002-A-D11_S47_L001_R2_001.fastq.gz&response-content-type=application%2Fx-gzip&Signature=43VnzmWmBTo3YPLAUkG0BBDm7qE%3D
