File: DSP-1001660006002-A-F05, Raw: Error, Trimmed: Error, Stitched: Error, Aligned: Error, TotalDedup: Error
File: DSP-1001660006002-A-F08, Raw: Error, Trimmed: Error, Stitched: Error, Aligned: Error, TotalDedup: Error
File: DSP-1001660006002-A-A01, Raw: 0, Trimmed: 0, Stitched: 0, Aligned: 0, TotalDedup: 0
File: DSP-1001660006002-A-A02, Raw: 3291666, Trimmed: 3115827, Stitched: 3115827, Aligned: 3098373, TotalDedup: 727247
File: DSP-1001660006002-A-A03, Raw: 1703067, Trimmed: 1611043, Stitched: 1611043, Aligned: 1602603, TotalDedup: 332160
File: DSP-1001660006002-A-A04, Raw: 2929818, Trimmed: 2780268, Stitched: 2780268, Aligned: 2764208, TotalDedup: 656783
File: DSP-1001660006002-A-A05, Raw: 938287, Trimmed: 881223, Stitched: 881223, Aligned: 876234, TotalDedup: 241020
File: DSP-1001660006002-A-A06, Raw: 3880539, Trimmed: 3659661, Stitched: 3659661, Aligned: 3638700, TotalDedup: 809142
File: DSP-1001660006002-A-A07, Raw: 1018108, Trimmed: 960962, Stitched: 960962, Aligned: 955226, TotalDedup: 211045
File: DSP-1001660006002-A-A08, Raw: 1616429, Trimmed: 1533651, Stitched: 1533651, Aligned: 1525288, TotalDedup: 357974
File: DSP-1001660006002-A-A09, Raw: 1142122, Trimmed: 1077416, Stitched: 1077416, Aligned: 1071483, TotalDedup: 261120
File: DSP-1001660006002-A-A10, Raw: 1761393, Trimmed: 1662681, Stitched: 1662681, Aligned: 1651775, TotalDedup: 392570
File: DSP-1001660006002-A-A11, Raw: 1461113, Trimmed: 1383366, Stitched: 1383366, Aligned: 1375266, TotalDedup: 319178
File: DSP-1001660006002-A-A12, Raw: 941655, Trimmed: 886729, Stitched: 886729, Aligned: 881802, TotalDedup: 226403
File: DSP-1001660006002-A-B01, Raw: 2302989, Trimmed: 2175579, Stitched: 2175579, Aligned: 2162623, TotalDedup: 576458
File: DSP-1001660006002-A-B02, Raw: 15378786, Trimmed: 14454050, Stitched: 14454050, Aligned: 14376212, TotalDedup: 2949375
File: DSP-1001660006002-A-B03, Raw: 361688, Trimmed: 343011, Stitched: 343011, Aligned: 341195, TotalDedup: 85008
File: DSP-1001660006002-A-B04, Raw: 787032, Trimmed: 745666, Stitched: 745666, Aligned: 741620, TotalDedup: 180699
File: DSP-1001660006002-A-B05, Raw: 9058266, Trimmed: 8619910, Stitched: 8619910, Aligned: 8573626, TotalDedup: 1574964
File: DSP-1001660006002-A-B06, Raw: 391507, Trimmed: 371595, Stitched: 371595, Aligned: 369215, TotalDedup: 93725
File: DSP-1001660006002-A-B07, Raw: 601496, Trimmed: 570787, Stitched: 570787, Aligned: 567315, TotalDedup: 134414
File: DSP-1001660006002-A-B08, Raw: 5197031, Trimmed: 4891707, Stitched: 4891707, Aligned: 4860919, TotalDedup: 897390
File: DSP-1001660006002-A-B09, Raw: 697985, Trimmed: 661308, Stitched: 661308, Aligned: 657636, TotalDedup: 147437
File: DSP-1001660006002-A-B10, Raw: 1201335, Trimmed: 1136926, Stitched: 1136926, Aligned: 1130332, TotalDedup: 250922
File: DSP-1001660006002-A-B11, Raw: 5755221, Trimmed: 5440635, Stitched: 5440635, Aligned: 5411951, TotalDedup: 1080365
File: DSP-1001660006002-A-B12, Raw: 721801, Trimmed: 689512, Stitched: 689512, Aligned: 685904, TotalDedup: 164259
File: DSP-1001660006002-A-C01, Raw: 833808, Trimmed: 786192, Stitched: 786192, Aligned: 781708, TotalDedup: 204112
File: DSP-1001660006002-A-C02, Raw: 851364, Trimmed: 805285, Stitched: 805285, Aligned: 800610, TotalDedup: 176308
File: DSP-1001660006002-A-C03, Raw: 379037, Trimmed: 356167, Stitched: 356167, Aligned: 354080, TotalDedup: 101180
File: DSP-1001660006002-A-C04, Raw: 397611, Trimmed: 378097, Stitched: 378097, Aligned: 375963, TotalDedup: 98451
File: DSP-1001660006002-A-C05, Raw: 1176682, Trimmed: 1118963, Stitched: 1118963, Aligned: 1112996, TotalDedup: 240856
File: DSP-1001660006002-A-C06, Raw: 755927, Trimmed: 718558, Stitched: 718558, Aligned: 714618, TotalDedup: 174501
File: DSP-1001660006002-A-C07, Raw: 766888, Trimmed: 722526, Stitched: 722526, Aligned: 718154, TotalDedup: 166884
File: DSP-1001660006002-A-C08, Raw: 715289, Trimmed: 672697, Stitched: 672697, Aligned: 668774, TotalDedup: 171880
File: DSP-1001660006002-A-C09, Raw: 576463, Trimmed: 544675, Stitched: 544675, Aligned: 541706, TotalDedup: 146215
File: DSP-1001660006002-A-C10, Raw: 269998, Trimmed: 254177, Stitched: 254177, Aligned: 252790, TotalDedup: 59108
File: DSP-1001660006002-A-C11, Raw: 731654, Trimmed: 695371, Stitched: 695371, Aligned: 691250, TotalDedup: 146385
File: DSP-1001660006002-A-C12, Raw: 2243967, Trimmed: 2111255, Stitched: 2111255, Aligned: 2099695, TotalDedup: 497280
File: DSP-1001660006002-A-D01, Raw: 600059, Trimmed: 568382, Stitched: 568382, Aligned: 564887, TotalDedup: 119664
File: DSP-1001660006002-A-D02, Raw: 932246, Trimmed: 882327, Stitched: 882327, Aligned: 877184, TotalDedup: 198895
File: DSP-1001660006002-A-D03, Raw: 8892612, Trimmed: 8428169, Stitched: 8428169, Aligned: 8382759, TotalDedup: 1413513
File: DSP-1001660006002-A-D04, Raw: 452323, Trimmed: 433233, Stitched: 433233, Aligned: 431064, TotalDedup: 104448
File: DSP-1001660006002-A-D05, Raw: 843399, Trimmed: 803704, Stitched: 803704, Aligned: 799557, TotalDedup: 184287
File: DSP-1001660006002-A-D06, Raw: 3503872, Trimmed: 3311639, Stitched: 3311639, Aligned: 3293760, TotalDedup: 741831
File: DSP-1001660006002-A-D07, Raw: 427962, Trimmed: 405011, Stitched: 405011, Aligned: 402685, TotalDedup: 95230
File: DSP-1001660006002-A-D08, Raw: 1057286, Trimmed: 1001850, Stitched: 1001850, Aligned: 995997, TotalDedup: 226625
File: DSP-1001660006002-A-D09, Raw: 1610033, Trimmed: 1521294, Stitched: 1521294, Aligned: 1512116, TotalDedup: 397305
File: DSP-1001660006002-A-D10, Raw: 3371586, Trimmed: 3188444, Stitched: 3188444, Aligned: 3172837, TotalDedup: 638852
File: DSP-1001660006002-A-D11, Raw: 1751633, Trimmed: 1656642, Stitched: 1656642, Aligned: 1648709, TotalDedup: 352971
File: DSP-1001660006002-A-D12, Raw: 3092177, Trimmed: 2932012, Stitched: 2932012, Aligned: 2917637, TotalDedup: 662798
File: DSP-1001660006002-A-E01, Raw: 4256882, Trimmed: 3979322, Stitched: 3979322, Aligned: 3959775, TotalDedup: 860544
File: DSP-1001660006002-A-E02, Raw: 1273484, Trimmed: 1212069, Stitched: 1212069, Aligned: 1187530, TotalDedup: 261537
File: DSP-1001660006002-A-E03, Raw: 1922026, Trimmed: 1820522, Stitched: 1820522, Aligned: 1806242, TotalDedup: 437603
File: DSP-1001660006002-A-E04, Raw: 1881987, Trimmed: 1777079, Stitched: 1777079, Aligned: 1766555, TotalDedup: 431011
File: DSP-1001660006002-A-E05, Raw: 1315091, Trimmed: 1247011, Stitched: 1247011, Aligned: 1240485, TotalDedup: 288051
File: DSP-1001660006002-A-E06, Raw: 1538907, Trimmed: 1445003, Stitched: 1445003, Aligned: 1438464, TotalDedup: 334160
File: DSP-1001660006002-A-E07, Raw: 677090, Trimmed: 637423, Stitched: 637423, Aligned: 633938, TotalDedup: 160312
File: DSP-1001660006002-A-E08, Raw: 1750727, Trimmed: 1664934, Stitched: 1664934, Aligned: 1656125, TotalDedup: 413022
File: DSP-1001660006002-A-E09, Raw: 3976753, Trimmed: 3770754, Stitched: 3770754, Aligned: 3749835, TotalDedup: 803970
File: DSP-1001660006002-A-E10, Raw: 28310509, Trimmed: 26646634, Stitched: 26646634, Aligned: 26505779, TotalDedup: 4162912
File: DSP-1001660006002-A-E11, Raw: 1173442, Trimmed: 1112607, Stitched: 1112607, Aligned: 1106231, TotalDedup: 229618
File: DSP-1001660006002-A-E12, Raw: 1411310, Trimmed: 1335359, Stitched: 1335359, Aligned: 1327837, TotalDedup: 285753
File: DSP-1001660006002-A-F01, Raw: 23201753, Trimmed: 21890730, Stitched: 21890730, Aligned: 21775211, TotalDedup: 3742060
File: DSP-1001660006002-A-F02, Raw: 1273685, Trimmed: 1203244, Stitched: 1203244, Aligned: 1196951, TotalDedup: 295980
File: DSP-1001660006002-A-F03, Raw: 4402141, Trimmed: 4160789, Stitched: 4160789, Aligned: 4137141, TotalDedup: 1013441
File: DSP-1001660006002-A-F04, Raw: 28082412, Trimmed: 26526923, Stitched: 26526923, Aligned: 26386059, TotalDedup: 4722583
File: DSP-1001660006002-A-F06, Raw: 1192030, Trimmed: 1127256, Stitched: 1127256, Aligned: 1120993, TotalDedup: 288780
