time(s),filename,numbytes,info
7.2,DSP-1001660006002-A-A04_S4_L001_R1_001.fastq.gz,0,start
7.4,DSP-1001660006002-A-A04_S4_L001_R2_001.fastq.gz,0,start
7.8,DSP-1001660006002-A-A04_S4_L001_R2_001.fastq.gz,16777216,part 2
7.9,DSP-1001660006002-A-A04_S4_L001_R2_001.fastq.gz,16777216,part 1
8.0,DSP-1001660006002-A-A04_S4_L001_R1_001.fastq.gz,16777216,part 2
8.0,DSP-1001660006002-A-A04_S4_L001_R2_001.fastq.gz,16777216,part 4
8.0,DSP-1001660006002-A-A04_S4_L001_R1_001.fastq.gz,16777216,part 1
8.0,DSP-1001660006002-A-A04_S4_L001_R1_001.fastq.gz,16777216,part 4
8.1,DSP-1001660006002-A-A04_S4_L001_R2_001.fastq.gz,16777216,part 3
8.3,DSP-1001660006002-A-A04_S4_L001_R1_001.fastq.gz,16777216,part 3
8.5,DSP-1001660006002-A-A04_S4_L001_R2_001.fastq.gz,14919947,part 5
8.6,DSP-1001660006002-A-A04_S4_L001_R1_001.fastq.gz,13040945,part 5
