SPATIAL ANALYSIS METRICS,,Total reads,2302989
SPATIAL ANALYSIS METRICS,,Total assigned reads,2162623,93.91
SPATIAL ANALYSIS METRICS,,Discarded reads,127410,5.53
SPATIAL ANALYSIS METRICS,,Total UMI Family Count,576458
SPATIAL ANALYSIS METRICS,,Stitched reads,2175579,94.47
SPATIAL ANALYSIS METRICS,,Assigned stitched reads,2162623,99.40
SPATIAL ANALYSIS METRICS,,Stitched bases in UMI,25951476
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in UMI,25603034,98.66
SPATIAL ANALYSIS METRICS,,Stitched bases in Barcode,30276722
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in Barcode,29930322,98.86
SPATIAL ANALYSIS METRICS,,Unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Assigned unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in UMI,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in UMI,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in Barcode,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in Barcode,0,0.00
SPATIAL ANALYSIS PARAMETERS,,Stitched-read analysis,enabled
SPATIAL ANALYSIS PARAMETERS,,Single-read analysis,disabled
SPATIAL ANALYSIS PARAMETERS,,Minimum sequence length,26
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence length,12
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence length,14
SPATIAL ANALYSIS PARAMETERS,,UMI sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge factor,2.00
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge adjustment,1
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching edit distance,1
SPATIAL ANALYSIS PARAMETERS,,Minimum stitching overlap,25
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching overlap,32
SPATIAL ANALYSIS PARAMETERS,,Expected stitching overlap,26
