time(s),filename,numbytes,info
7.1,DSP-1001660006002-A-B08_S20_L001_R1_001.fastq.gz,0,start
7.2,DSP-1001660006002-A-B08_S20_L001_R2_001.fastq.gz,0,start
7.5,DSP-1001660006002-A-B08_S20_L001_R2_001.fastq.gz,16777216,part 1
7.6,DSP-1001660006002-A-B08_S20_L001_R1_001.fastq.gz,16777216,part 3
7.7,DSP-1001660006002-A-B08_S20_L001_R1_001.fastq.gz,16777216,part 4
7.7,DSP-1001660006002-A-B08_S20_L001_R2_001.fastq.gz,16777216,part 4
7.7,DSP-1001660006002-A-B08_S20_L001_R2_001.fastq.gz,16777216,part 3
7.7,DSP-1001660006002-A-B08_S20_L001_R1_001.fastq.gz,16777216,part 2
7.9,DSP-1001660006002-A-B08_S20_L001_R1_001.fastq.gz,16777216,part 1
8.1,DSP-1001660006002-A-B08_S20_L001_R2_001.fastq.gz,16777216,part 2
8.4,DSP-1001660006002-A-B08_S20_L001_R1_001.fastq.gz,16777216,part 5
8.4,DSP-1001660006002-A-B08_S20_L001_R2_001.fastq.gz,16777216,part 5
8.5,DSP-1001660006002-A-B08_S20_L001_R1_001.fastq.gz,16777216,part 6
8.6,DSP-1001660006002-A-B08_S20_L001_R2_001.fastq.gz,8753560,part 9
8.7,DSP-1001660006002-A-B08_S20_L001_R1_001.fastq.gz,8485640,part 9
8.8,DSP-1001660006002-A-B08_S20_L001_R1_001.fastq.gz,16777216,part 7
9.5,DSP-1001660006002-A-B08_S20_L001_R2_001.fastq.gz,16777216,part 7
9.6,DSP-1001660006002-A-B08_S20_L001_R2_001.fastq.gz,16777216,part 8
9.7,DSP-1001660006002-A-B08_S20_L001_R2_001.fastq.gz,16777216,part 6
10.7,DSP-1001660006002-A-B08_S20_L001_R1_001.fastq.gz,16777216,part 8
