SPATIAL ANALYSIS METRICS,,Total reads,766888
SPATIAL ANALYSIS METRICS,,Total assigned reads,718154,93.65
SPATIAL ANALYSIS METRICS,,Discarded reads,44362,5.78
SPATIAL ANALYSIS METRICS,,Total UMI Family Count,166884
SPATIAL ANALYSIS METRICS,,Stitched reads,722526,94.22
SPATIAL ANALYSIS METRICS,,Assigned stitched reads,718154,99.39
SPATIAL ANALYSIS METRICS,,Stitched bases in UMI,8617848
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in UMI,8510853,98.76
SPATIAL ANALYSIS METRICS,,Stitched bases in Barcode,10054156
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in Barcode,9943533,98.90
SPATIAL ANALYSIS METRICS,,Unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Assigned unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in UMI,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in UMI,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in Barcode,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in Barcode,0,0.00
SPATIAL ANALYSIS PARAMETERS,,Stitched-read analysis,enabled
SPATIAL ANALYSIS PARAMETERS,,Single-read analysis,disabled
SPATIAL ANALYSIS PARAMETERS,,Minimum sequence length,26
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence length,12
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence length,14
SPATIAL ANALYSIS PARAMETERS,,UMI sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge factor,2.00
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge adjustment,1
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching edit distance,1
SPATIAL ANALYSIS PARAMETERS,,Minimum stitching overlap,25
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching overlap,32
SPATIAL ANALYSIS PARAMETERS,,Expected stitching overlap,26
