time(s),filename,numbytes,info
7.2,DSP-1001660006002-A-C12_S36_L001_R1_001.fastq.gz,0,start
7.3,DSP-1001660006002-A-C12_S36_L001_R2_001.fastq.gz,0,start
7.5,DSP-1001660006002-A-C12_S36_L001_R1_001.fastq.gz,11240867,part 4
7.5,DSP-1001660006002-A-C12_S36_L001_R1_001.fastq.gz,16777216,part 1
7.9,DSP-1001660006002-A-C12_S36_L001_R2_001.fastq.gz,16777216,part 3
7.9,DSP-1001660006002-A-C12_S36_L001_R1_001.fastq.gz,16777216,part 3
8.0,DSP-1001660006002-A-C12_S36_L001_R2_001.fastq.gz,16777216,part 2
8.0,DSP-1001660006002-A-C12_S36_L001_R1_001.fastq.gz,16777216,part 2
8.1,DSP-1001660006002-A-C12_S36_L001_R2_001.fastq.gz,16777216,part 1
8.1,DSP-1001660006002-A-C12_S36_L001_R2_001.fastq.gz,12930559,part 4
