time(s),filename,numbytes,info
7.0,DSP-1001660006002-A-D12_S48_L001_R1_001.fastq.gz,0,start
7.1,DSP-1001660006002-A-D12_S48_L001_R2_001.fastq.gz,0,start
7.4,DSP-1001660006002-A-D12_S48_L001_R1_001.fastq.gz,16777216,part 1
7.5,DSP-1001660006002-A-D12_S48_L001_R1_001.fastq.gz,16777216,part 2
7.6,DSP-1001660006002-A-D12_S48_L001_R1_001.fastq.gz,255742,part 6
7.7,DSP-1001660006002-A-D12_S48_L001_R1_001.fastq.gz,16777216,part 3
7.7,DSP-1001660006002-A-D12_S48_L001_R2_001.fastq.gz,16777216,part 4
7.7,DSP-1001660006002-A-D12_S48_L001_R2_001.fastq.gz,16777216,part 3
7.8,DSP-1001660006002-A-D12_S48_L001_R1_001.fastq.gz,16777216,part 4
7.8,DSP-1001660006002-A-D12_S48_L001_R2_001.fastq.gz,738293,part 6
7.8,DSP-1001660006002-A-D12_S48_L001_R2_001.fastq.gz,16777216,part 1
8.0,DSP-1001660006002-A-D12_S48_L001_R2_001.fastq.gz,16777216,part 2
8.2,DSP-1001660006002-A-D12_S48_L001_R1_001.fastq.gz,16777216,part 5
8.4,DSP-1001660006002-A-D12_S48_L001_R2_001.fastq.gz,16777216,part 5
