SPATIAL ANALYSIS METRICS,,Total reads,1881987
SPATIAL ANALYSIS METRICS,,Total assigned reads,1766555,93.87
SPATIAL ANALYSIS METRICS,,Discarded reads,104908,5.57
SPATIAL ANALYSIS METRICS,,Total UMI Family Count,431011
SPATIAL ANALYSIS METRICS,,Stitched reads,1777079,94.43
SPATIAL ANALYSIS METRICS,,Assigned stitched reads,1766555,99.41
SPATIAL ANALYSIS METRICS,,Stitched bases in UMI,21198660
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in UMI,20925222,98.71
SPATIAL ANALYSIS METRICS,,Stitched bases in Barcode,24731770
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in Barcode,24455221,98.88
SPATIAL ANALYSIS METRICS,,Unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Assigned unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in UMI,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in UMI,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in Barcode,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in Barcode,0,0.00
SPATIAL ANALYSIS PARAMETERS,,Stitched-read analysis,enabled
SPATIAL ANALYSIS PARAMETERS,,Single-read analysis,disabled
SPATIAL ANALYSIS PARAMETERS,,Minimum sequence length,26
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence length,12
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence length,14
SPATIAL ANALYSIS PARAMETERS,,UMI sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge factor,2.00
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge adjustment,1
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching edit distance,1
SPATIAL ANALYSIS PARAMETERS,,Minimum stitching overlap,25
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching overlap,32
SPATIAL ANALYSIS PARAMETERS,,Expected stitching overlap,26
