time(s),filename,numbytes,info
7.1,DSP-1001660006002-A-E04_S52_L001_R1_001.fastq.gz,0,start
7.2,DSP-1001660006002-A-E04_S52_L001_R2_001.fastq.gz,0,start
7.2,DSP-1001660006002-A-E04_S52_L001_R1_001.fastq.gz,1475127,part 4
7.4,DSP-1001660006002-A-E04_S52_L001_R2_001.fastq.gz,2225602,part 4
7.5,DSP-1001660006002-A-E04_S52_L001_R1_001.fastq.gz,16777216,part 3
7.6,DSP-1001660006002-A-E04_S52_L001_R2_001.fastq.gz,16777216,part 2
7.9,DSP-1001660006002-A-E04_S52_L001_R1_001.fastq.gz,16777216,part 2
7.9,DSP-1001660006002-A-E04_S52_L001_R2_001.fastq.gz,16777216,part 3
7.9,DSP-1001660006002-A-E04_S52_L001_R2_001.fastq.gz,16777216,part 1
8.1,DSP-1001660006002-A-E04_S52_L001_R1_001.fastq.gz,16777216,part 1
