time(s),filename,numbytes,info
6.9,DSP-1001660006002-A-F03_S63_L001_R1_001.fastq.gz,0,start
7.0,DSP-1001660006002-A-F03_S63_L001_R2_001.fastq.gz,0,start
7.4,DSP-1001660006002-A-F03_S63_L001_R2_001.fastq.gz,16777216,part 4
7.4,DSP-1001660006002-A-F03_S63_L001_R2_001.fastq.gz,16777216,part 3
7.4,DSP-1001660006002-A-F03_S63_L001_R1_001.fastq.gz,16777216,part 1
7.5,DSP-1001660006002-A-F03_S63_L001_R2_001.fastq.gz,16777216,part 1
7.6,DSP-1001660006002-A-F03_S63_L001_R1_001.fastq.gz,16777216,part 4
7.7,DSP-1001660006002-A-F03_S63_L001_R1_001.fastq.gz,16777216,part 3
7.7,DSP-1001660006002-A-F03_S63_L001_R1_001.fastq.gz,16777216,part 2
7.8,DSP-1001660006002-A-F03_S63_L001_R1_001.fastq.gz,1289895,part 8
7.9,DSP-1001660006002-A-F03_S63_L001_R2_001.fastq.gz,16777216,part 2
8.0,DSP-1001660006002-A-F03_S63_L001_R2_001.fastq.gz,2169437,part 8
8.0,DSP-1001660006002-A-F03_S63_L001_R2_001.fastq.gz,16777216,part 6
8.2,DSP-1001660006002-A-F03_S63_L001_R2_001.fastq.gz,16777216,part 5
8.2,DSP-1001660006002-A-F03_S63_L001_R1_001.fastq.gz,16777216,part 5
8.3,DSP-1001660006002-A-F03_S63_L001_R1_001.fastq.gz,16777216,part 7
8.3,DSP-1001660006002-A-F03_S63_L001_R1_001.fastq.gz,16777216,part 6
8.4,DSP-1001660006002-A-F03_S63_L001_R2_001.fastq.gz,16777216,part 7
