SPATIAL ANALYSIS METRICS,,Total reads,20601732
SPATIAL ANALYSIS METRICS,,Total assigned reads,19357361,93.96
SPATIAL ANALYSIS METRICS,,Discarded reads,1141281,5.54
SPATIAL ANALYSIS METRICS,,Total UMI Family Count,3233605
SPATIAL ANALYSIS METRICS,,Stitched reads,19460451,94.46
SPATIAL ANALYSIS METRICS,,Assigned stitched reads,19357361,99.47
SPATIAL ANALYSIS METRICS,,Stitched bases in UMI,232288332
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in UMI,229363880,98.74
SPATIAL ANALYSIS METRICS,,Stitched bases in Barcode,271003054
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in Barcode,268056249,98.91
SPATIAL ANALYSIS METRICS,,Unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Assigned unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in UMI,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in UMI,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in Barcode,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in Barcode,0,0.00
SPATIAL ANALYSIS PARAMETERS,,Stitched-read analysis,enabled
SPATIAL ANALYSIS PARAMETERS,,Single-read analysis,disabled
SPATIAL ANALYSIS PARAMETERS,,Minimum sequence length,26
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence length,12
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence length,14
SPATIAL ANALYSIS PARAMETERS,,UMI sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge factor,2.00
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge adjustment,1
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching edit distance,1
SPATIAL ANALYSIS PARAMETERS,,Minimum stitching overlap,25
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching overlap,32
SPATIAL ANALYSIS PARAMETERS,,Expected stitching overlap,26
