SPATIAL ANALYSIS METRICS,,Total reads,12301274
SPATIAL ANALYSIS METRICS,,Total assigned reads,11523281,93.68
SPATIAL ANALYSIS METRICS,,Discarded reads,715486,5.82
SPATIAL ANALYSIS METRICS,,Total UMI Family Count,2009780
SPATIAL ANALYSIS METRICS,,Stitched reads,11585788,94.18
SPATIAL ANALYSIS METRICS,,Assigned stitched reads,11523281,99.46
SPATIAL ANALYSIS METRICS,,Stitched bases in UMI,138279372
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in UMI,136556363,98.75
SPATIAL ANALYSIS METRICS,,Stitched bases in Barcode,161325934
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in Barcode,159482584,98.86
SPATIAL ANALYSIS METRICS,,Unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Assigned unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in UMI,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in UMI,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in Barcode,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in Barcode,0,0.00
SPATIAL ANALYSIS PARAMETERS,,Stitched-read analysis,enabled
SPATIAL ANALYSIS PARAMETERS,,Single-read analysis,disabled
SPATIAL ANALYSIS PARAMETERS,,Minimum sequence length,26
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence length,12
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence length,14
SPATIAL ANALYSIS PARAMETERS,,UMI sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge factor,2.00
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge adjustment,1
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching edit distance,1
SPATIAL ANALYSIS PARAMETERS,,Minimum stitching overlap,25
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching overlap,32
SPATIAL ANALYSIS PARAMETERS,,Expected stitching overlap,26
