time(s),filename,numbytes,info
6.9,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,0,start
7.0,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,0,start
7.4,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16777216,part 1
7.5,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 1
7.6,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16777216,part 4
7.6,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 2
7.6,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16777216,part 2
7.7,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16777216,part 3
7.7,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 4
7.7,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 3
8.1,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 6
8.1,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16777216,part 5
8.3,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16777216,part 6
8.3,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 7
8.4,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16777216,part 8
8.4,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 5
8.4,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16777216,part 7
8.4,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 8
8.6,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16777216,part 9
8.7,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 11
8.9,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 9
8.9,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16777216,part 12
9.0,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 12
9.2,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 10
9.3,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16777216,part 11
9.3,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16777216,part 13
9.3,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 13
9.4,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,2472163,part 16
9.4,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 15
9.5,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16777216,part 10
9.6,DSP-1001660006002-A-G11_S83_L001_R2_001.fastq.gz,16777216,part 14
9.9,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16777216,part 14
10.4,DSP-1001660006002-A-G11_S83_L001_R1_001.fastq.gz,16491436,part 15
