time(s),filename,numbytes,info
7.7,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,0,start
7.7,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,0,start
8.1,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 2
8.1,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 4
8.3,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 3
8.3,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 1
8.3,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 4
8.4,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 1
8.4,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 3
8.6,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 2
9.0,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 5
9.0,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 6
9.1,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 7
9.1,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 7
9.2,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 5
9.3,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 6
9.3,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 8
9.6,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 10
9.7,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 8
9.7,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 11
9.8,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 10
9.8,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 9
9.8,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 11
9.8,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 9
10.0,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 12
10.1,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 12
10.2,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 15
10.2,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 13
10.3,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 14
10.5,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 13
10.6,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 14
10.6,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 16
10.7,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 15
10.8,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,11269786,part 18
10.8,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,5720556,part 18
10.9,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 16
10.9,DSP-1001660006002-A-H02_S86_L001_R1_001.fastq.gz,16777216,part 17
10.9,DSP-1001660006002-A-H02_S86_L001_R2_001.fastq.gz,16777216,part 17
